peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
133,7057.6042292,7104.8355114,-47.23128219999944,0.8323125999995682,72.08829951634894,17:37:00
134,7058.3735963,7105.6044753,-47.23087899999973,0.768963900000017,78.02706993136957,17:37:01
135,7059.1110963,7106.3404435,-47.22934720000012,0.7359682000005705,81.52526155335718,17:37:01
136,7059.9020682,7107.1311969,-47.22912869999982,0.7907533999996303,75.8770053976727,17:37:02
137,7060.7261127,7107.9557036,-47.229590899999494,0.8245066999998016,72.77078524651702,17:37:03
138,7061.49373,7108.7227356,-47.229005600000164,0.7670320000006541,78.22359432194332,17:37:04
139,7062.1920242,7109.4213612,-47.22933700000067,0.698625600000014,85.88291067490056,17:37:05
140,7062.8360825,7110.0652739,-47.22919139999976,0.6439126999994187,93.18033329681829,17:37:05
141,7063.5544448,7110.7841344,-47.2296895999998,0.7188605000001189,83.46542896708064,17:37:06
142,7064.3398289,7111.5688564,-47.229027500000484,0.784722000000329,76.46019864356403,17:37:07
143,7065.1566575,7112.3878685,-47.23121100000026,0.8190120999997816,73.25899092335266,17:37:08
144,7066.0217605,7113.2516969,-47.22993640000004,0.8638283999998748,69.45823962260178,17:37:08
145,7066.8786846,7114.1086039,-47.22991929999989,0.8569070000003194,70.01926696826801,17:37:09
146,7067.7754629,7115.005809,-47.23034610000013,0.8972051000000647,66.87434121807341,17:37:10
147,7068.6072143,7115.8365869,-47.229372599999806,0.8307778999997026,72.22146857784912,17:37:11
148,7069.4418337,7116.6720998,-47.230266100000335,0.8355129000001398,71.81217668810375,17:37:12
149,7070.2895889,7117.5185372,-47.2289482999995,0.8464373999995587,70.88533658842495,17:37:13
150,7071.1366657,7118.3670943,-47.23042859999987,0.8485571000001073,70.70826465301205,17:37:14
151,7071.9960105,7119.2268561,-47.230845600000066,0.8597618000003422,69.78677117310413,17:37:14
152,7072.82883,7120.0595086,-47.23067859999992,0.8326525000002221,72.05887209848527,17:37:15
153,7073.6272785,7120.8561314,-47.228852899999765,0.7966227999995681,75.31795474600091,17:37:16
154,7074.4868231,7121.7164973,-47.22967419999986,0.8603659000000334,69.73777087166944,17:37:17
155,7075.3166484,7122.5466354,-47.22998699999971,0.8301381000001129,72.2771307569088,17:37:18
156,7076.1494883,7123.3787002,-47.22921190000034,0.8320647999998982,72.10976837381817,17:37:19
157,7076.9944031,7124.2240793,-47.22967619999963,0.8453791000001729,70.97407541774777,17:37:19
158,7077.8120329,7125.0414708,-47.22943789999954,0.8173914999997578,73.4042377490074,17:37:20
159,7078.5963416,7125.8261205,-47.229778899999474,0.7846497000000454,76.46724391788658,17:37:21
160,7079.3806434,7126.6099488,-47.22930540000016,0.7838283000000956,76.54737651089235,17:37:22
161,7080.2134189,7127.4443959,-47.230977000000166,0.834447100000034,71.90389900090437,17:37:23
162,7081.0344329,7128.263274,-47.228841099999954,0.8188780999998926,73.27097891616332,17:37:23
163,7081.8940027,7129.1236422,-47.2296395000003,0.8603682000002664,69.73758444347597,17:37:24
164,7082.7387477,7129.968591,-47.22984329999963,0.8449487999996563,71.01021979086119,17:37:25
165,7083.5695754,7130.7983544,-47.22877900000003,0.8297634000000471,72.30976926675314,17:37:26
166,7084.384479,7131.6141431,-47.229664099999354,0.8157886999997572,73.54845684920355,17:37:27
167,7085.1914685,7132.4213194,-47.2298509000002,0.8071763000007195,74.33320329145754,17:37:28
168,7086.0430965,7133.2728485,-47.22975200000019,0.8515290999994249,70.4614792378094,17:37:28
169,7086.8741721,7134.1045452,-47.23037310000018,0.8316967000000659,72.14168338048623,17:37:29
170,7087.7039541,7134.9341349,-47.23018079999929,0.8295896999998149,72.32490953059492,17:37:30
171,7088.4425475,7135.6727464,-47.23019889999978,0.7386114999999336,81.23350367548487,17:37:31
172,7089.2299791,7136.4588603,-47.228881200000615,0.7861139000006006,76.32481756136632,17:37:32
173,7090.0260621,7137.254903,-47.22884090000025,0.7960426999998163,75.37284118052192,17:37:32
174,7090.8520481,7138.0818918,-47.229843700000856,0.8269888000004357,72.55237313971892,17:37:33
175,7091.6261748,7138.8556786,-47.2295038000002,0.7737867999994705,77.54073861177402,17:37:34
176,7092.3527613,7139.5835964,-47.23083510000015,0.7279177999998865,82.42688940977862,17:37:35
177,7093.1055827,7140.3356881,-47.23010539999996,0.7520917000001646,79.77750585465425,17:37:35
178,7093.8754574,7141.1043403,-47.22888289999992,0.7686522000003606,78.0587110789143,17:37:36
179,7094.7062474,7141.9356544,-47.22940699999981,0.8313140999998723,72.1748855216208,17:37:37
180,7095.5115413,7142.7416854,-47.23014409999996,0.8060310000000754,74.43882431320183,17:37:38
181,7096.30674,7143.5358064,-47.22906640000019,0.7941209999999046,75.55523654456589,17:37:39
182,7097.1073476,7144.336583,-47.22923540000011,0.8007766000000629,74.92726435811846,17:37:39
183,7097.9274431,7145.1559808,-47.22853769999983,0.8193977999999333,73.22450707093049,17:37:40
184,7098.7516987,7145.9803049,-47.228606200000286,0.8243241000000125,72.78690505348453,17:37:41
185,7099.5055603,7146.7348697,-47.22930939999969,0.7545647999995708,79.51603361306296,17:37:42
186,7100.2899392,7147.5190329,-47.229093699999794,0.7841631999999663,76.51468469829058,17:37:43
187,7101.1061798,7148.3357652,-47.22958540000036,0.8167323000006945,73.46348368975853,17:37:43
188,7101.9373899,7149.1665845,-47.22919459999957,0.830819299999348,72.217869758258,17:37:44
189,7102.7232426,7149.9529718,-47.22972920000029,0.7863873000005697,76.29828202967741,17:37:45
